# Document DOC6322 | Failed transactions export | version 1 (current)
transaction_id,customer_id,amount,currency,status,failure_reason,created_at,incident_id
TX83155,C38198,5053.22,EUR,failed,upstream_auth_timeout,2024-04-24T02:03:00Z,INC9344
TX65770,C60687,3289.75,EUR,failed,issuer_declined,2023-12-28T11:00:00Z,
TX54179,C55004,9005.34,EUR,failed,issuer_declined,2023-12-28T20:06:00Z,
TX80691,C32240,610.00,EUR,failed,duplicate_submission,2023-12-29T19:31:00Z,
TX17936,C98407,8135.35,EUR,failed,card_expired,2023-12-30T07:45:00Z,
TX31376,C40734,7689.93,EUR,failed,3ds_abandoned,2023-12-30T15:20:00Z,
TX36193,C22499,5084.57,EUR,failed,card_expired,2023-12-30T20:36:00Z,
TX21318,C38198,238.26,EUR,failed,3ds_abandoned,2023-12-31T03:44:00Z,
TX51689,C94279,2128.22,EUR,failed,card_expired,2023-12-31T16:30:00Z,
TX40972,C94279,2030.78,EUR,failed,duplicate_submission,2024-01-01T09:19:00Z,
TX87991,C83914,8987.30,EUR,failed,3ds_abandoned,2024-01-01T09:32:00Z,
TX55586,C60687,3450.18,EUR,failed,issuer_declined,2024-01-02T01:17:00Z,
TX61778,C65745,4648.46,EUR,failed,card_expired,2024-01-02T03:39:00Z,
TX61397,C87246,5024.95,EUR,failed,3ds_abandoned,2024-01-02T07:09:00Z,
TX60344,C18449,6213.53,EUR,failed,card_expired,2024-01-02T09:36:00Z,
TX50837,C94279,9071.03,EUR,failed,issuer_declined,2024-01-02T09:52:00Z,
TX52711,C76633,8747.30,EUR,failed,duplicate_submission,2024-01-02T18:23:00Z,
TX20335,C48767,453.67,EUR,failed,duplicate_submission,2024-01-03T01:09:00Z,
TX53056,C78229,613.84,EUR,failed,card_expired,2024-01-03T05:49:00Z,
TX10664,C91314,7359.62,EUR,failed,issuer_declined,2024-01-03T15:58:00Z,
TX59758,C80387,1043.28,EUR,failed,card_expired,2024-01-03T17:55:00Z,
TX88790,C32240,4430.32,EUR,failed,card_expired,2024-01-04T05:54:00Z,
TX80454,C91314,6193.82,EUR,failed,card_expired,2024-01-06T08:15:00Z,
TX58613,C87192,7659.16,EUR,failed,duplicate_submission,2024-01-06T13:17:00Z,
TX72510,C12957,6620.25,EUR,failed,card_expired,2024-01-06T15:11:00Z,
TX36977,C87503,2221.89,EUR,failed,card_expired,2024-01-06T16:28:00Z,
TX30146,C18182,3874.86,EUR,failed,3ds_abandoned,2024-01-06T16:58:00Z,
TX51844,C76258,3869.64,EUR,failed,duplicate_submission,2024-01-06T17:17:00Z,
TX22509,C59828,6106.45,EUR,failed,issuer_declined,2024-01-08T05:39:00Z,
TX16380,C94279,5703.85,EUR,failed,issuer_declined,2024-01-09T03:31:00Z,
TX22099,C85220,2343.48,EUR,failed,issuer_declined,2024-01-10T04:10:00Z,
TX96658,C38198,6818.36,EUR,failed,duplicate_submission,2024-01-11T06:49:00Z,
TX26978,C21466,7837.10,EUR,failed,duplicate_submission,2024-01-11T08:42:00Z,
TX76570,C70780,1093.13,EUR,failed,duplicate_submission,2024-01-11T17:00:00Z,
TX64547,C80387,5051.29,EUR,failed,duplicate_submission,2024-01-11T23:54:00Z,
TX94732,C53645,1164.52,EUR,failed,issuer_declined,2024-01-12T21:55:00Z,
TX24306,C11383,1163.30,EUR,failed,3ds_abandoned,2024-01-13T04:22:00Z,
TX44738,C81344,7855.99,EUR,failed,3ds_abandoned,2024-01-13T19:24:00Z,
TX19755,C80387,8924.12,EUR,failed,issuer_declined,2024-01-16T03:19:00Z,
TX82696,C18464,8118.53,EUR,failed,duplicate_submission,2024-01-16T07:31:00Z,
TX71022,C99172,7863.32,EUR,failed,issuer_declined,2024-01-16T23:06:00Z,
TX95382,C55555,4612.79,EUR,failed,3ds_abandoned,2024-01-17T01:32:00Z,
TX58827,C12096,7797.46,EUR,failed,3ds_abandoned,2024-01-17T10:26:00Z,
TX80742,C15007,4421.24,EUR,failed,3ds_abandoned,2024-01-17T21:51:00Z,
TX30332,C83914,9403.18,EUR,failed,duplicate_submission,2024-01-18T04:13:00Z,
TX58813,C50575,1396.41,EUR,failed,issuer_declined,2024-01-18T08:19:00Z,
TX58138,C91314,5740.33,EUR,failed,card_expired,2024-01-18T23:24:00Z,
TX34808,C45282,418.44,EUR,failed,issuer_declined,2024-01-19T09:22:00Z,
TX19920,C58949,1992.52,EUR,failed,duplicate_submission,2024-01-19T22:51:00Z,
TX77099,C94235,8569.76,EUR,failed,issuer_declined,2024-01-20T08:56:00Z,
TX37279,C40734,5376.37,EUR,failed,issuer_declined,2024-01-20T16:33:00Z,
TX86337,C98407,8498.36,EUR,failed,3ds_abandoned,2024-01-21T22:29:00Z,
TX23933,C46540,4707.47,EUR,failed,card_expired,2024-01-22T01:28:00Z,
TX98712,C55004,6397.98,EUR,failed,3ds_abandoned,2024-01-22T22:39:00Z,
TX18680,C13450,2165.95,EUR,failed,card_expired,2024-01-23T00:01:00Z,
TX59599,C50607,8540.19,EUR,failed,card_expired,2024-01-23T11:28:00Z,
TX86776,C12957,2604.43,EUR,failed,card_expired,2024-01-25T12:53:00Z,
TX59477,C76633,7924.33,EUR,failed,3ds_abandoned,2024-01-25T17:30:00Z,
TX63046,C18464,631.90,EUR,failed,3ds_abandoned,2024-01-25T18:12:00Z,
TX17057,C60338,1029.63,EUR,failed,duplicate_submission,2024-01-26T01:58:00Z,
